filename:,/Users/paul/development/dlt-comparison/hashgraph/sdk/StatsDemo0.csv,
badEv/sec:,number of corrupted events received per second,
bytes/sec_sync:,average number of bytes per second transfered during a sync,
bytes/sec_trans:,number of bytes in the transactions received per second (from unique events created by self and others),
bytes/trans:,number of bytes in each transactions,
cEvents/sec:,number of events per second created by this node,
conns:,number of times a TLS connections was created,
cpuLoadSys:,the CPU load of the whole system,
dupEv%:,percentage of events received that are already known,
ev/syncR:,number of events received per successful sync,
ev/syncS:,number of events sent per successful sync,
events/sec:,number of unique events received per second (created by self and others),
icSync/sec:,(interrupted call syncs) syncs interrupted per second initiated by this member,
irSync/sec:,(interrupted receive syncs) syncs interrupted per second initiated by other member,
local:,number of members running on this local machine,
memberID:,ID number of this member,
members:,total number of members participating,
memFree:,bytes of free memory (which can increase after a garbage collection),
memMax:,maximum bytes that the JVM might use,
memTot:,total bytes in the Java Virtual Machine,
name:,name of this member,
ping:,average time for a round trip message between 2 computers (in milliseconds),
proc:,number of processors (cores) available to the JVM,
rounds/sec:,average number of rounds per second,
roundSup:,latest round with state signed by a supermajority,
sec/sync:,duration of average successful sync (in seconds),
secC2C:,time from creating an event to knowing its consensus (in seconds),
SecC2H:,time from knowing consensus for a transaction to handling it (in seconds),
secC2R:,time from another member creating an event to receiving it and veryfing the signature (in seconds),
secC2RC:,time from another member creating an event to it being received and and knowing  consensus for it (in seconds),
secR2C:,time from receiving an event to knowing its consensus (in seconds),
secR2F:,time from a round's first received event to all the famous witnesses being known (in seconds),
secR2nR:,time from first event received in one round to first event received in the next round (in seconds),
simSyncs:,avg number of simultaneous syncs happening at any given time,
sync/secC:,(call syncs) syncs completed per second initiated by this member,
sync/secR:,(receive syncs) syncs completed per second initiated by other member,
time:,the current time,
trans/event:,number of app transactions in each event,
trans/sec:,number of app transactions received per second (from unique events created by self and others),
write:,the app claimed to log statistics every this many milliseconds,

,,badEv/sec,bytes/sec_sync,bytes/sec_trans,bytes/trans,cEvents/sec,conns,cpuLoadSys,dupEv%,ev/syncR,ev/syncS,events/sec,icSync/sec,irSync/sec,local,memberID,members,memFree,memMax,memTot,name,ping,proc,rounds/sec,roundSup,sec/sync,secC2C,SecC2H,secC2R,secC2RC,secR2C,secR2F,secR2nR,simSyncs,sync/secC,sync/secR,time,trans/event,trans/sec,write,
