filename:,/Users/paul/development/dlt-comparison/hashgraph/sdk/StatsDemo3.csv,
badEv/sec:,number of corrupted events received per second,
bytes/sec_sync:,average number of bytes per second transfered during a sync,
bytes/sec_trans:,number of bytes in the transactions received per second (from unique events created by self and others),
bytes/trans:,number of bytes in each transactions,
cEvents/sec:,number of events per second created by this node,
conns:,number of times a TLS connections was created,
cpuLoadSys:,the CPU load of the whole system,
dupEv%:,percentage of events received that are already known,
ev/syncR:,number of events received per successful sync,
ev/syncS:,number of events sent per successful sync,
events/sec:,number of unique events received per second (created by self and others),
icSync/sec:,(interrupted call syncs) syncs interrupted per second initiated by this member,
irSync/sec:,(interrupted receive syncs) syncs interrupted per second initiated by other member,
local:,number of members running on this local machine,
memberID:,ID number of this member,
members:,total number of members participating,
memFree:,bytes of free memory (which can increase after a garbage collection),
memMax:,maximum bytes that the JVM might use,
memTot:,total bytes in the Java Virtual Machine,
name:,name of this member,
ping:,average time for a round trip message between 2 computers (in milliseconds),
proc:,number of processors (cores) available to the JVM,
rounds/sec:,average number of rounds per second,
roundSup:,latest round with state signed by a supermajority,
sec/sync:,duration of average successful sync (in seconds),
secC2C:,time from creating an event to knowing its consensus (in seconds),
SecC2H:,time from knowing consensus for a transaction to handling it (in seconds),
secC2R:,time from another member creating an event to receiving it and veryfing the signature (in seconds),
secC2RC:,time from another member creating an event to it being received and and knowing  consensus for it (in seconds),
secR2C:,time from receiving an event to knowing its consensus (in seconds),
secR2F:,time from a round's first received event to all the famous witnesses being known (in seconds),
secR2nR:,time from first event received in one round to first event received in the next round (in seconds),
simSyncs:,avg number of simultaneous syncs happening at any given time,
sync/secC:,(call syncs) syncs completed per second initiated by this member,
sync/secR:,(receive syncs) syncs completed per second initiated by other member,
time:,the current time,
trans/event:,number of app transactions in each event,
trans/sec:,number of app transactions received per second (from unique events created by self and others),
write:,the app claimed to log statistics every this many milliseconds,

,,badEv/sec,bytes/sec_sync,bytes/sec_trans,bytes/trans,cEvents/sec,conns,cpuLoadSys,dupEv%,ev/syncR,ev/syncS,events/sec,icSync/sec,irSync/sec,local,memberID,members,memFree,memMax,memTot,name,ping,proc,rounds/sec,roundSup,sec/sync,secC2C,SecC2H,secC2R,secC2RC,secR2C,secR2F,secR2nR,simSyncs,sync/secC,sync/secR,time,trans/event,trans/sec,write,
,,0.0000000,0.00,0.00,0,0.00,0,NaN,0.00,0.0,0.0,0.00,0.0000000,0.0000000,4,3,4,34635768,4294967296,52428800,Dave,0,8,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.0000000,0.0000000,2019-05-13 09:38:54 UTC,0.0,0.00,3000,
,,0.0000000,96755.02,22043.92,100,60.23,6,NaN,16.82,3.2,3.2,235.51,0.0000000,0.0000000,4,3,4,67383456,4294967296,104857600,Dave,27,8,8.262,10,0.029,0.282,0.001,0.035,0.286,0.251,0.139,0.093,3.000000,37.2557150,32.9674416,2019-05-13 09:38:57 UTC,0.9,221.16,3000,
,,0.0000000,106006.86,21052.21,100,75.36,6,NaN,17.25,3.6,3.5,300.22,0.0000000,0.0000000,4,3,4,42193488,4294967296,125829120,Dave,17,8,10.594,29,0.028,0.260,0.001,0.032,0.260,0.228,0.128,0.083,3.000000,46.3329370,33.9212343,2019-05-13 09:39:00 UTC,0.7,210.29,3000,
,,0.0000000,110535.94,20684.45,100,80.10,6,NaN,17.47,3.7,3.6,320.93,0.0000000,0.0000000,4,3,4,23704240,4294967296,125829120,Dave,13,8,11.376,48,0.028,0.254,0.001,0.032,0.255,0.223,0.125,0.081,2.666667,45.2738823,38.2061544,2019-05-13 09:39:03 UTC,0.6,207.03,3000,
,,0.0000000,114146.87,20541.92,100,83.64,6,NaN,17.31,3.7,3.7,335.78,0.0000000,0.0000000,4,3,4,34988728,4294967296,125829120,Dave,10,8,11.934,68,0.027,0.249,0.001,0.031,0.251,0.220,0.124,0.079,2.666667,45.0775150,41.0995747,2019-05-13 09:39:06 UTC,0.6,205.32,3000,
,,0.0000000,113975.48,20403.34,100,85.98,6,NaN,17.80,3.8,3.7,343.79,0.0000000,0.0000000,4,3,4,68908000,4294967296,125829120,Dave,9,8,12.136,88,0.027,0.248,0.000,0.031,0.249,0.218,0.124,0.078,2.600905,45.5977193,42.4031553,2019-05-13 09:39:09 UTC,0.6,204.21,3000,
,,0.0000000,116319.87,20332.64,100,88.26,6,NaN,18.13,3.8,3.8,351.78,0.0000000,0.0000000,4,3,4,29931720,4294967296,125829120,Dave,8,8,12.411,110,0.027,0.245,0.000,0.030,0.247,0.216,0.123,0.077,2.549461,47.8789985,41.9673625,2019-05-13 09:39:12 UTC,0.6,203.25,3000,
,,0.0000000,120848.90,20280.84,100,91.06,6,NaN,18.32,3.8,3.8,364.54,0.0000000,0.0000000,4,3,4,44954616,4294967296,125829120,Dave,7,8,12.878,137,0.026,0.239,0.000,0.030,0.240,0.211,0.120,0.075,2.512622,48.2054630,44.2027907,2019-05-13 09:39:15 UTC,0.6,202.73,3000,
,,0.0000000,125947.70,20238.80,100,94.34,6,NaN,18.77,3.9,3.9,378.15,0.0000000,0.0000000,4,3,4,42739384,4294967296,125829120,Dave,6,8,13.333,168,0.026,0.233,0.000,0.029,0.234,0.205,0.117,0.073,2.478342,48.1718368,47.2036884,2019-05-13 09:39:18 UTC,0.5,202.32,3000,
,,0.0000000,127734.85,20185.49,100,96.36,6,NaN,19.08,3.9,3.9,386.47,0.0000000,0.0000000,4,3,4,45824648,4294967296,125829120,Dave,5,8,13.567,201,0.025,0.230,0.000,0.028,0.231,0.202,0.114,0.072,2.450959,48.3982862,48.7863288,2019-05-13 09:39:21 UTC,0.5,201.76,3000,
,,0.0000000,129791.19,20143.04,100,97.66,6,NaN,19.07,3.9,4.0,391.01,0.0000000,0.0000000,4,3,4,45884144,4294967296,125829120,Dave,4,8,13.762,235,0.025,0.228,0.000,0.028,0.229,0.200,0.113,0.071,2.433079,48.5804728,49.7499332,2019-05-13 09:39:24 UTC,0.5,201.64,3000,
,,0.0000000,128024.95,20131.47,100,97.73,6,NaN,19.82,4.0,3.9,391.77,0.0000000,0.0000000,4,3,4,24556808,4294967296,125829120,Dave,4,8,13.725,272,0.026,0.229,0.000,0.028,0.230,0.201,0.115,0.072,2.540463,47.9097303,50.4185511,2019-05-13 09:39:27 UTC,0.5,201.21,3000,
,,0.0000000,127635.28,20070.07,100,97.54,6,NaN,19.94,4.0,4.0,390.67,0.0000000,0.0000000,4,3,4,43777808,4294967296,125829120,Dave,3,8,13.702,309,0.026,0.230,0.000,0.029,0.231,0.202,0.115,0.072,2.559912,48.5025053,49.5280953,2019-05-13 09:39:30 UTC,0.5,200.82,3000,
,,0.0000000,128742.09,20089.93,100,98.44,6,NaN,19.89,4.0,3.9,394.87,0.0000000,0.0000000,4,3,4,31400544,4294967296,125829120,Dave,3,8,13.878,347,0.025,0.228,0.000,0.028,0.229,0.200,0.113,0.071,2.575664,50.2787859,48.4902927,2019-05-13 09:39:33 UTC,0.5,200.80,3000,
,,0.0000000,127310.92,20045.04,100,97.78,6,NaN,19.99,4.0,4.0,392.72,0.0000000,0.0000000,4,3,4,22183560,4294967296,125829120,Dave,3,8,13.819,386,0.026,0.230,0.000,0.028,0.230,0.202,0.114,0.072,2.529825,49.4443879,48.6108829,2019-05-13 09:39:36 UTC,0.5,200.38,3000,
,,0.0000000,125767.01,20051.59,100,97.38,6,NaN,20.11,4.0,4.0,391.59,0.0000000,0.0000000,4,3,4,57283040,4294967296,181403648,Dave,3,8,13.729,424,0.026,0.232,0.000,0.029,0.232,0.203,0.115,0.072,2.488462,48.5885535,49.0667380,2019-05-13 09:39:39 UTC,0.5,200.49,3000,
,,0.0000000,129174.94,20055.85,100,99.14,6,NaN,20.16,4.0,4.0,396.98,0.0000000,0.0000000,4,3,4,116876584,4294967296,218103808,Dave,2,8,13.962,464,0.025,0.229,0.000,0.028,0.229,0.201,0.113,0.071,2.463627,50.3342927,48.9781175,2019-05-13 09:39:42 UTC,0.5,200.49,3000,
,,0.0000000,129752.68,20040.28,100,99.52,6,NaN,19.88,4.0,4.0,398.53,0.0000000,0.0000000,4,3,4,116825944,4294967296,218103808,Dave,2,8,14.085,505,0.025,0.227,0.000,0.028,0.228,0.200,0.113,0.071,2.434771,48.2320211,51.4162325,2019-05-13 09:39:45 UTC,0.5,200.33,3000,
,,0.0000000,131812.38,20029.06,100,100.96,6,NaN,19.97,4.0,4.0,403.86,0.0000000,0.0000000,4,3,4,106761896,4294967296,218103808,Dave,2,8,14.257,546,0.025,0.225,0.000,0.028,0.225,0.197,0.111,0.070,2.344162,50.1418433,50.9769663,2019-05-13 09:39:48 UTC,0.5,200.31,3000,
